,Cand,party,num,cand_status
0,Смагулов Бекен Туменбаевич,Жашылдар Партиясы,15.0,True
1,Шарыпов Бакыт Сатыбалдыевич,Азаттык,14.0,True
2,Кособокова Александра Евгеньевна,Жашылдар Партиясы,22.0,True
3,Чонтаев Нурланбек Ырсалиевич,Жашылдар Партиясы,37.0,True
4,Махмудов Улан Алымжанович,Азаттык,11.0,True
5,Джумалиева Эльмира Бусурманкуловна,Азаттык,12.0,True
6,Абдыкалыков Курсантбек Мамасадыкович,Азаттык,50.0,True
7,Эргешов Зайырбек Жолчуевич,Азаттык,26.0,True
8,Токтосунов Алтынбек Турусбекович,Азаттык,34.0,True
9,Акназарова Роза Корчубековна,Азаттык,16.0,True
10,Джолдошова Жылдызкан Айтибаевна,Азаттык,4.0,True
11,Дыйканбаев Болотбек Жусупович,Азаттык,18.0,True
12,Нарынбек уулу Адилет,Азаттык,45.0,True
13,Ашыралиев Фархад Анаркулович,Азаттык,46.0,True
14,Абдыкеримова Алтынай Рысбековна,Азаттык,29.0,True
15,Равшанова Жылдыз Равшановна,Азаттык,40.0,True
16,Эшиев Бактыбек Абдыкеримович,Азаттык,43.0,True
17,Джунушова Кундуз Азатовна,Жашылдар Партиясы,34.0,True
18,Сайпидинов Мунарбек Акимжанович,Азаттык,21.0,False
19,Ниязова Феруза Мырзамамытовна,Жашылдар Партиясы,12.0,True
20,Исаков Эсенгул Байдалиевич,Азаттык,31.0,True
21,Эрматов Абдимамат Абилаевич,Азаттык,37.0,True
22,Караев Баястан Ырысалиевич,Азаттык,30.0,True
23,Исаков Исмаил Исакович,Азаттык,1.0,True
24,Вулянчин Гадир Джумазович,Азаттык,23.0,True
25,Аттокуров Азрет Али Акылбекович,Азаттык,6.0,True
26,Шеримкулов Медетхан,Азаттык,2.0,True
27,Барыктабасова Гульбара Эраалиевна,Азаттык,24.0,True
28,Маткеримов Айбек Тураталиевич,Ата-Журт Кыргызстан,1.0,True
29,Мамырова Бөдөш Аманбаевна,Азаттык,13.0,True
30,Гришина Чинара Дайракановна,Жашылдар Партиясы,20.0,True
31,Бейшебаева Гүлзат Дамирбековна,Жашылдар Партиясы,9.0,True
32,Иванов Виктор Геннадьевич,Азаттык,27.0,True
33,Гречановская Анастасия Андреевна,Азаттык,25.0,True
34,Мадумаров Адахан Кимсанбаевич,Бүтүн Кыргызстан,1.0,True
35,Кожокулова Гуля Акматкуловна,Бүтүн Кыргызстан,8.0,True
36,Масалиев Исхак Абсаматович,Бүтүн Кыргызстан,2.0,True
37,Мамытов Токтокучук Болотбекович,Бүтүн Кыргызстан,3.0,True
38,Нарматова Орозайым Кочконбаевна,Бүтүн Кыргызстан,4.0,True
39,Сманбеков Темирлан Камашович,Бүтүн Кыргызстан,5.0,True
40,Сияев Таштанбек Монолдорович,Бүтүн Кыргызстан,6.0,True
41,Кадыров Дастан Курманбекович,Социал-демократтар,32.0,True
42,Мукамбетов Джакшылык Мамбетказиевич,Социал-демократтар,33.0,True
43,Акматов Сталбек Темирбекович,Социал-демократтар,41.0,True
44,Жайчиев Эмиль Аканбекович,Бүтүн Кыргызстан,7.0,True
45,Барчакеев Бакыт Амангелдиевич,Бүтүн Кыргызстан,9.0,True
46,Сатыбалдиев Кыянбек Урмаматович,Бүтүн Кыргызстан,10.0,True
47,Токтошев Эмиль Токтакунович,Бүтүн Кыргызстан,11.0,True
48,Айдарова Айгүл Абдисаламовна,Бүтүн Кыргызстан,12.0,True
49,Эрбаев Алишер Ташбаевич,Бүтүн Кыргызстан,13.0,True
50,Тейитбаев Жумадил Бердибекович,Бүтүн Кыргызстан,14.0,True
51,Бердиев Аккулу Тагаевич,Бүтүн Кыргызстан,15.0,True
52,Кулмурзаева Айпери Сүйүнтбековна,Бүтүн Кыргызстан,16.0,True
53,Сарымсаков Белек Адыканович,Бүтүн Кыргызстан,17.0,True
54,Алымбаев Алайбек Анаркулович,Бүтүн Кыргызстан,19.0,False
55,Завазиева Наталья Геннадьевна,Бүтүн Кыргызстан,20.0,True
56,Козубаев Алымжан Калыкович,Бүтүн Кыргызстан,21.0,True
57,Берикбаев Санжарбек Турдукулович,Бүтүн Кыргызстан,23.0,True
58,Богданова Юлия Алексеевна,Бүтүн Кыргызстан,24.0,True
59,Шерматов Батырали Ташбаевич,Бүтүн Кыргызстан,25.0,True
60,Бекилов Абдишарип Тажимаматович,Бүтүн Кыргызстан,26.0,True
61,Борончиев Алик Дайырбекович,Социал-демократтар,30.0,True
62,Алымбеков Замирбек Маданбекович,Социал-демократтар,13.0,True
63,Исаков Толкунбек Талипович,Бүтүн Кыргызстан,27.0,True
64,Сапарбекова Мээрим Сапарбековна,Бүтүн Кыргызстан,28.0,True
65,Дюшембиева Элиза Бакытовна,Бүтүн Кыргызстан,31.0,True
